wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.4 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230616_112302-yzhz6avz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run peachy-snowflake-2
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE/runs/yzhz6avz
Episode: 1/10000, Score: None, Epsilon: -1.00
Episode: 201/10000, Score: 59.706024169921875, Epsilon: -1.00
Episode: 202/10000, Score: 59.5817985534668, Epsilon: -1.00
Episode: 203/10000, Score: 54.36172103881836, Epsilon: -1.00
Episode: 204/10000, Score: 53.5112419128418, Epsilon: -1.00
Episode: 205/10000, Score: 43.452232360839844, Epsilon: -1.00
Episode: 206/10000, Score: 68.97157287597656, Epsilon: -1.00
Episode: 207/10000, Score: 51.02827453613281, Epsilon: -1.00
Episode: 208/10000, Score: 76.33216857910156, Epsilon: -1.00
Episode: 209/10000, Score: 52.6646842956543, Epsilon: -1.00
Episode: 210/10000, Score: 41.33029556274414, Epsilon: -1.00
Episode: 211/10000, Score: 66.80499267578125, Epsilon: -1.00
Episode: 212/10000, Score: 70.34374237060547, Epsilon: -1.00
Episode: 213/10000, Score: 50.70328903198242, Epsilon: -1.00
Episode: 214/10000, Score: 47.188323974609375, Epsilon: -1.00
Episode: 215/10000, Score: 57.87983322143555, Epsilon: -1.00
Episode: 216/10000, Score: 42.57526397705078, Epsilon: -1.00
Episode: 217/10000, Score: 74.95201873779297, Epsilon: -1.00
Episode: 218/10000, Score: 59.32047653198242, Epsilon: -1.00
Episode: 219/10000, Score: 58.29096603393555, Epsilon: -1.00
Episode: 220/10000, Score: 85.01644897460938, Epsilon: -1.00
Episode: 221/10000, Score: 58.060726165771484, Epsilon: -1.00
Episode: 222/10000, Score: 63.46324157714844, Epsilon: -1.00
Episode: 223/10000, Score: 59.815673828125, Epsilon: -1.00
Episode: 224/10000, Score: 60.302581787109375, Epsilon: -1.00
Episode: 225/10000, Score: 55.23943328857422, Epsilon: -1.00
Episode: 226/10000, Score: 56.23490524291992, Epsilon: -1.00
Episode: 227/10000, Score: 35.827239990234375, Epsilon: -1.00
Episode: 228/10000, Score: 51.31536102294922, Epsilon: -1.00
Episode: 229/10000, Score: 37.9582633972168, Epsilon: -1.00
Episode: 230/10000, Score: 64.54344940185547, Epsilon: -1.00
Episode: 231/10000, Score: 63.96588134765625, Epsilon: -1.00
Episode: 232/10000, Score: 42.04084396362305, Epsilon: -1.00
Episode: 233/10000, Score: 55.11921310424805, Epsilon: -1.00
Episode: 234/10000, Score: 48.84318542480469, Epsilon: -1.00
Episode: 235/10000, Score: 76.2886962890625, Epsilon: -1.00
Episode: 236/10000, Score: 51.771522521972656, Epsilon: -1.00
Episode: 237/10000, Score: 61.37074279785156, Epsilon: -1.00
Episode: 238/10000, Score: 49.50542449951172, Epsilon: -1.00
Episode: 239/10000, Score: 73.73875427246094, Epsilon: -1.00
Episode: 240/10000, Score: 69.24771118164062, Epsilon: -1.00
Episode: 241/10000, Score: 59.076416015625, Epsilon: -1.00
Episode: 242/10000, Score: 47.07568359375, Epsilon: -1.00
Episode: 243/10000, Score: 54.16069793701172, Epsilon: -1.00
Episode: 244/10000, Score: 43.917449951171875, Epsilon: -1.00
Episode: 245/10000, Score: 42.86878967285156, Epsilon: -1.00
Episode: 246/10000, Score: 67.86981201171875, Epsilon: -1.00
Episode: 247/10000, Score: 47.24822998046875, Epsilon: -1.00
Episode: 248/10000, Score: 49.90045166015625, Epsilon: -1.00
Episode: 249/10000, Score: 48.191734313964844, Epsilon: -1.00
Episode: 250/10000, Score: 46.46282196044922, Epsilon: -1.00
Episode: 251/10000, Score: 37.87214279174805, Epsilon: -1.00
Episode: 252/10000, Score: 45.906639099121094, Epsilon: -1.00
Episode: 253/10000, Score: 61.17796325683594, Epsilon: -1.00
Episode: 254/10000, Score: 53.731719970703125, Epsilon: -1.00
Episode: 255/10000, Score: 55.765926361083984, Epsilon: -1.00
Episode: 256/10000, Score: 55.367431640625, Epsilon: -1.00
Episode: 257/10000, Score: 61.125885009765625, Epsilon: -1.00
Episode: 258/10000, Score: 56.232322692871094, Epsilon: -1.00
Episode: 259/10000, Score: 56.78583908081055, Epsilon: -1.00
Episode: 260/10000, Score: 57.8084716796875, Epsilon: -1.00
Episode: 261/10000, Score: 51.84703826904297, Epsilon: -1.00
Episode: 262/10000, Score: 39.78660202026367, Epsilon: -1.00
Episode: 263/10000, Score: 54.78741455078125, Epsilon: -1.00
Episode: 264/10000, Score: 48.36899948120117, Epsilon: -1.00
Episode: 265/10000, Score: 44.35244369506836, Epsilon: -1.00
Episode: 266/10000, Score: 48.34788131713867, Epsilon: -1.00
Episode: 267/10000, Score: 61.992881774902344, Epsilon: -1.00
Episode: 268/10000, Score: 58.056060791015625, Epsilon: -1.00
Episode: 269/10000, Score: 53.89881896972656, Epsilon: -1.00
Episode: 270/10000, Score: 81.10431671142578, Epsilon: -1.00
Episode: 271/10000, Score: 48.1658935546875, Epsilon: -1.00
Episode: 272/10000, Score: 54.172054290771484, Epsilon: -1.00
Episode: 273/10000, Score: 57.80109786987305, Epsilon: -1.00
Episode: 274/10000, Score: 51.747711181640625, Epsilon: -1.00
Episode: 275/10000, Score: 41.43103790283203, Epsilon: -1.00
Episode: 276/10000, Score: 37.8342399597168, Epsilon: -1.00
Episode: 277/10000, Score: 31.752437591552734, Epsilon: -1.00
Episode: 278/10000, Score: 56.33989715576172, Epsilon: -1.00
Episode: 279/10000, Score: 48.00715637207031, Epsilon: -1.00
Episode: 280/10000, Score: 64.02993774414062, Epsilon: -1.00
Episode: 281/10000, Score: 56.49617004394531, Epsilon: -1.00
Episode: 282/10000, Score: 42.019622802734375, Epsilon: -1.00
Episode: 283/10000, Score: 50.156455993652344, Epsilon: -1.00
Episode: 284/10000, Score: 49.8448486328125, Epsilon: -1.00
Episode: 285/10000, Score: 47.28082275390625, Epsilon: -1.00
Episode: 286/10000, Score: 42.906150817871094, Epsilon: -1.00
Episode: 287/10000, Score: 65.45726013183594, Epsilon: -1.00
Episode: 288/10000, Score: 88.52742767333984, Epsilon: -1.00
Episode: 289/10000, Score: 46.7354736328125, Epsilon: -1.00
Episode: 290/10000, Score: 44.317955017089844, Epsilon: -1.00
Episode: 291/10000, Score: 39.71637725830078, Epsilon: -1.00
Episode: 292/10000, Score: 63.225547790527344, Epsilon: -1.00
Episode: 293/10000, Score: 40.54112243652344, Epsilon: -1.00
Episode: 294/10000, Score: 70.93182373046875, Epsilon: -1.00
