wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230524_152226-tvj9bp5n
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rare-totem-6
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting/runs/tvj9bp5n
Episode: 351/10000, Score: -300.0, Epsilon: 0.01
Episode: 352/10000, Score: -300.0, Epsilon: 0.01
Episode: 353/10000, Score: -300.0, Epsilon: 0.01
Episode: 354/10000, Score: -300.0, Epsilon: 0.01
Episode: 355/10000, Score: -300.0, Epsilon: 0.01
Episode: 356/10000, Score: -300.0, Epsilon: 0.01
Episode: 357/10000, Score: -300.0, Epsilon: 0.01
Episode: 358/10000, Score: -300.0, Epsilon: 0.01
Episode: 359/10000, Score: -300.0, Epsilon: 0.01
Episode: 360/10000, Score: -300.0, Epsilon: 0.01
Episode: 361/10000, Score: -300.0, Epsilon: 0.01
Episode: 362/10000, Score: -300.0, Epsilon: 0.01
Episode: 363/10000, Score: -300.0, Epsilon: 0.01
Episode: 364/10000, Score: -300.0, Epsilon: 0.01
Episode: 365/10000, Score: -300.0, Epsilon: 0.01
Episode: 366/10000, Score: -300.0, Epsilon: 0.01
Episode: 367/10000, Score: -300.0, Epsilon: 0.01
Episode: 368/10000, Score: -300.0, Epsilon: 0.01
Episode: 369/10000, Score: -300.0, Epsilon: 0.01
Episode: 370/10000, Score: -300.0, Epsilon: 0.01
Episode: 371/10000, Score: -300.0, Epsilon: 0.01
Episode: 372/10000, Score: -300.0, Epsilon: 0.01
Episode: 373/10000, Score: -300.0, Epsilon: 0.01
Episode: 374/10000, Score: -300.0, Epsilon: 0.01
Episode: 375/10000, Score: -300.0, Epsilon: 0.01
Episode: 376/10000, Score: -300.0, Epsilon: 0.01
Episode: 377/10000, Score: -300.0, Epsilon: 0.01
Episode: 378/10000, Score: -300.0, Epsilon: 0.01
Episode: 379/10000, Score: -300.0, Epsilon: 0.01
Episode: 380/10000, Score: -300.0, Epsilon: 0.01
Episode: 381/10000, Score: -300.0, Epsilon: 0.01
Episode: 382/10000, Score: -300.0, Epsilon: 0.01
Episode: 383/10000, Score: -300.0, Epsilon: 0.01
Episode: 384/10000, Score: -300.0, Epsilon: 0.01
Episode: 385/10000, Score: -300.0, Epsilon: 0.01
Episode: 386/10000, Score: -300.0, Epsilon: 0.01
Episode: 387/10000, Score: -300.0, Epsilon: 0.01
Episode: 388/10000, Score: -300.0, Epsilon: 0.01
Episode: 389/10000, Score: -300.0, Epsilon: 0.01
Episode: 390/10000, Score: -300.0, Epsilon: 0.01
Episode: 391/10000, Score: -300.0, Epsilon: 0.01
Episode: 392/10000, Score: -300.0, Epsilon: 0.01
Episode: 393/10000, Score: -300.0, Epsilon: 0.01
Episode: 394/10000, Score: -300.0, Epsilon: 0.01
Episode: 395/10000, Score: -300.0, Epsilon: 0.01
Episode: 396/10000, Score: -300.0, Epsilon: 0.01
Episode: 397/10000, Score: -300.0, Epsilon: 0.01
Episode: 398/10000, Score: -297.0, Epsilon: 0.01
Episode: 399/10000, Score: -264.0, Epsilon: 0.01
Episode: 400/10000, Score: -300.0, Epsilon: 0.01
Episode: 401/10000, Score: -300.0, Epsilon: 0.01
Episode: 402/10000, Score: -300.0, Epsilon: 0.01
Episode: 403/10000, Score: -300.0, Epsilon: 0.01
Episode: 404/10000, Score: -300.0, Epsilon: 0.01
Episode: 405/10000, Score: -300.0, Epsilon: 0.01
Episode: 406/10000, Score: -300.0, Epsilon: 0.01
Episode: 407/10000, Score: -300.0, Epsilon: 0.01
Episode: 408/10000, Score: -300.0, Epsilon: 0.01
Episode: 409/10000, Score: -300.0, Epsilon: 0.01
Episode: 410/10000, Score: -300.0, Epsilon: 0.01
Episode: 411/10000, Score: -278.0, Epsilon: 0.01
Episode: 412/10000, Score: -300.0, Epsilon: 0.01
Episode: 413/10000, Score: -300.0, Epsilon: 0.01
Episode: 414/10000, Score: -300.0, Epsilon: 0.01
Episode: 415/10000, Score: -243.0, Epsilon: 0.01
Episode: 416/10000, Score: -300.0, Epsilon: 0.01
